traitA,traitB,peakidA,peakidB
length_2_4_D,length_Triphenyl_phosphate_6_25,V:14453636,V:7623783
length_Methyl_mercury,length_Paraquat_62_5,I:2994073,I:3282224
length_Methyl_mercury,length_Triphenyl_phosphate_6_25,V:15476283,V:7623783
length_Methyl_mercury,length_Carboxin,III:2461452,III:2527992
length_Methyl_mercury,length_Silver_nitrate_7_8,II:2730209,II:3016298
length_Methyl_mercury,length_Chlorothalonil,III:2461452,III:2605810
length_Methyl_mercury,length_Chlorothalonil,III:3716201,III:4478684
length_Methyl_mercury,length_Carbaryl,I:2994073,I:2596756
length_Methyl_mercury,length_Arsenic_trioxide,III:2461452,III:1642838
length_Paraquat_62_5,length_Zinc_dichloride,I:11258815,I:4884561
length_Paraquat_62_5,length_Chlorothalonil,II:13675568,II:13921653
length_Paraquat_62_5,length_Arsenic_trioxide,II:13675568,II:13692527
length_Mancozeb,length_Chlorothalonil,II:10305644,II:5392976
length_Carboxin,length_Chlorothalonil,III:2527992,III:2605810
length_Carboxin,length_Arsenic_trioxide,III:2527992,III:1642838
length_Silver_nitrate_7_8,length_Chlorothalonil,I:1622740,I:1741155
length_Silver_nitrate_7_8,length_Chlorothalonil,II:11883855,II:5392976
length_Atrazine,length_Chlorothalonil,II:12658388,II:5392976
length_Chlorothalonil,length_Nickel_dichloride,II:5392976,II:12203935
length_Chlorothalonil,length_Arsenic_trioxide,II:13921653,II:13692527
length_Chlorothalonil,length_Arsenic_trioxide,III:1455164,III:1642838
length_Chlorothalonil,length_Arsenic_trioxide,III:2605810,III:1642838
