peakid,trait
V:14453636,length_2_4_D
I:2994073,length_Methyl_mercury
V:15476283,length_Methyl_mercury
III:2461452,length_Methyl_mercury
II:2730209,length_Methyl_mercury
III:3716201,length_Methyl_mercury
I:11258815,length_Paraquat_62_5
II:13675568,length_Paraquat_62_5
II:10305644,length_Mancozeb
III:2527992,length_Carboxin
I:1622740,length_Silver_nitrate_7_8
II:11883855,length_Silver_nitrate_7_8
II:12658388,length_Atrazine
II:5392976,length_Chlorothalonil
II:13921653,length_Chlorothalonil
III:1455164,length_Chlorothalonil
III:2605810,length_Chlorothalonil
V:7623783,length_Triphenyl_phosphate_6_25
I:3282224,length_Paraquat_62_5
II:3016298,length_Silver_nitrate_7_8
III:4478684,length_Chlorothalonil
I:2596756,length_Carbaryl
III:1642838,length_Arsenic_trioxide
I:4884561,length_Zinc_dichloride
II:13692527,length_Arsenic_trioxide
I:1741155,length_Chlorothalonil
II:12203935,length_Nickel_dichloride
